#,Company,Symbol,Weight,Price,Chg,% Chg
1,NVIDIA Corp,NVDA,7.69%,215.33,-4.18,-1.90% 
2,Apple Inc,AAPL,6.69%,308.82,3.83,1.26%
3,Microsoft Corp,MSFT,4.58%,418.57,-0.52,-0.12%
4,Amazon.com Inc,AMZN,4.22%,266.32,-2.14,-0.80%
5,Alphabet Inc,GOOGL,3.53%,382.97,-4.69,-1.21%
6,Alphabet Inc,GOOG,3.28%,379.38,-4.09,-1.07%
7,Broadcom Inc,AVGO,2.89%,414.14,-0.43,-0.10%
8,Tesla Inc,TSLA,2.36%,426.01,8.16,1.95%
9,Meta Platforms Inc,META,2.28%,610.26,2.88,0.47%
10,Berkshire Hathaway Inc,BRK.B,1.55%,486.38,6.4,1.33%
11,Walmart Inc,WMT,1.41%,120.27,-1.07,-0.88%
12,Eli Lilly & Co,LLY,1.40%,1065.0,23.35,2.24%
13,Micron Technology Inc,MU,1.25%,751.0,-11.1,-1.46%
14,JPMorgan Chase & Co,JPM,1.21%,306.38,3.38,1.12%
15,Advanced Micro Devices Inc,AMD,1.12%,467.51,17.92,3.99%
16,Exxon Mobil Corp,XOM,0.95%,154.92,-0.37,-0.24%
17,Visa Inc,V,0.92%,328.88,-2.24,-0.68%
18,Intel Corp,INTC,0.89%,119.84,1.34,1.13%
19,Johnson & Johnson,JNJ,0.83%,234.34,2.61,1.13%
20,Oracle Corp,ORCL,0.81%,192.08,2.31,1.22%
21,Cisco Systems Inc,CSCO,0.70%,120.41,2.21,1.87%
22,Costco Wholesale Corp,COST,0.67%,1028.24,-22.21,-2.11%
23,Mastercard Inc,MA,0.65%,498.54,-1.08,-0.22%
24,Caterpillar Inc,CAT,0.60%,879.89,13.94,1.61%
25,Lam Research Corp,LRCX,0.56%,305.35,3.11,1.03%
26,Chevron Corp,CVX,0.56%,191.43,0.42,0.22%
27,AbbVie Inc,ABBV,0.56%,215.7,1.2,0.56%
28,Netflix Inc,NFLX,0.55%,88.6,-0.7,-0.78%
29,Bank of America Corp,BAC,0.54%,51.8,0.31,0.60%
30,UnitedHealth Group Inc,UNH,0.52%,388.47,5.99,1.57%
31,Coca-Cola Co/The,KO,0.52%,81.48,0.31,0.38%
32,Applied Materials Inc,AMAT,0.51%,432.16,4.8,1.12%
33,Procter & Gamble Co/The,PG,0.50%,144.44,1.04,0.73%
34,Palantir Technologies Inc,PLTR,0.48%,136.88,-0.53,-0.39%
35,Morgan Stanley,MS,0.47%,201.03,0.52,0.26%
36,General Electric Co,GE,0.47%,302.84,1.08,0.36%
37,Home Depot Inc/The,HD,0.46%,313.07,-0.71,-0.23%
38,Merck & Co Inc,MRK,0.45%,122.41,6.53,5.64%
39,Philip Morris International Inc,PM,0.43%,188.99,0.53,0.28%
40,Goldman Sachs Group Inc/The,GS,0.43%,996.73,8.56,0.87%
41,Texas Instruments Inc,TXN,0.41%,309.21,10.82,3.63%
42,GE Vernova Inc,GEV,0.41%,1038.74,-5.08,-0.49%
43,QUALCOMM Inc,QCOM,0.37%,238.16,24.75,11.60%
44,KLA Corp,KLAC,0.36%,1888.38,46.2,2.51%
45,Linde PLC,LIN,0.35%,517.58,3.07,0.60%
46,International Business Machines Corp,IBM,0.35%,253.84,0.87,0.34%
47,RTX Corp,RTX,0.35%,177.01,1.03,0.59%
48,Wells Fargo & Co,WFC,0.34%,76.4,0.48,0.63%
49,Sandisk Corp/DE,SNDK,0.32%,1478.69,-63.55,-4.12%
50,Citigroup Inc,C,0.31%,125.09,-0.13,-0.10%
51,American Express Co,AXP,0.31%,311.78,2.08,0.67%
52,Palo Alto Networks Inc,PANW,0.31%,260.58,7.66,3.03%
53,T-Mobile US Inc,TMUS,0.31%,191.47,0.57,0.30%
54,PepsiCo Inc,PEP,0.30%,150.57,1.72,1.16%
55,Verizon Communications Inc,VZ,0.30%,48.35,0.08,0.17%
56,McDonald's Corp,MCD,0.30%,282.27,-1.91,-0.67%
57,Arista Networks Inc,ANET,0.29%,154.03,5.44,3.66%
